"winner","Yi","TB","YS","WT","EYB1","Age","SEYB5","YW","EYB5","YW_sq","TB_YW","TB_sq","WT_YW"
0,0,2,12,0,0,76,0,1986,0,3944196,3972,4,0
1,0,5,8,1,0.792999999999998,59,1,1987,3.67983419689118,3948169,9935,25,1987
1,3.38950513950072,2,12,0,29.6932666025023,63,1,1985,34.4495145631067,3940225,3970,4,0
1,6.37576981712422,3,8,1,19.7066096654275,56,1,1986,19.2408888888888,3944196,5958,9,1986
1,25.4775787089264,1,12,1,28.7655983935742,43,1,1984,30.8193388429751,3936256,1984,1,1984
1,0,1,9,0,0,60,0,1984,0,3936256,1984,1,0
1,41.9547398542783,0,14,1,30.2830522088353,45,1,1984,25.2261157024793,3936256,0,0,1984
0,40.8910121816691,4,16,1,32.6563695861404,45,1,1985,28.0810097087378,3940225,7940,16,1985
1,25.3942942372142,1,12,1,39.4089999999999,27,1,1987,10.4261968911917,3948169,1987,1,1987
1,42.3938841260413,5,16,1,39.8737247353223,44,1,1985,34.4495145631067,3940225,9925,25,1985
1,1.44480823889387,1,16,0,0,27,1,1986,2.26313751375137,3944196,1986,1,0
1,10.147759415733,1,12,1,19.2649999999999,36,1,1987,15.7517347150259,3948169,1987,1,1987
1,3.03345083977751,3,12,1,15.849,53,1,1987,12.0741720207254,3948169,5961,9,1987
1,3.08728902454775,2,12,0,9.37405947955388,51,1,1986,3.6738305830583,3944196,3972,4,0
0,31.8578335691368,2,10,1,32.3219788257939,48,0,1985,0,3940225,3970,4,1985
1,4.88933692927001,1,14,1,12.62,37,1,1987,14.8794777202072,3948169,1987,1,1987
1,0.999049926578558,1,11,1,1.58018094321462,65,0,1985,0,3940225,1985,1,1985
1,0,5,12,0,0,59,0,1987,0,3948169,9935,25,0
1,23.3332816563749,3,12,1,25.6789999999999,53,1,1987,22.5105906735751,3948169,5961,9,1987
0,42.3404099324929,2,16,1,39.8737247353223,43,0,1985,0,3940225,3970,4,1985
0,0,2,16,1,0,45,0,1987,0,3948169,3974,4,1987
0,32.1294125003093,2,15,1,41.9999999999999,40,1,1987,23.2022632124352,3948169,3974,4,1987
1,14.9078050156577,4,16,1,18.691,43,1,1987,13.2405886010362,3948169,7948,16,1987
0,24.8945771091446,3,12,1,18.2509999999999,35,1,1987,15.1872663212435,3948169,5961,9,1987
0,25.128297550651,2,16,1,16.8046542750929,30,1,1986,4.88919691969196,3944196,3972,4,1986
0,6.81062137122536,1,16,0,0.970471607314723,26,1,1985,0.754165048543687,3940225,1985,1,0
0,0,1,12,0,0,72,1,1985,12.0107766990291,3940225,1985,1,0
0,0.814281690140843,3,13,1,19.0414721189591,73,0,1986,0,3944196,5958,9,1986
1,1.25114927457906,10,12,0,41.9999999999999,64,1,1987,36.7983419689118,3948169,19870,100,0
1,0,2,14,1,0,57,0,1988,0,3952144,3976,4,1988
1,0,3,16,1,0,51,0,1986,0,3944196,5958,9,1986
0,5.31266863499602,4,16,1,2.17406737247353,46,0,1985,0,3940225,7940,16,1985
0,32.2905588075523,1,14,1,33.7468178438661,47,1,1986,28.7914015401539,3944196,1986,1,1986
1,27.2092627664072,2,14,1,23.8129999999999,37,1,1987,8.6021803108808,3948169,3974,4,1987
0,16.9775396568587,5,16,1,42.257,69,1,1988,39.284,3952144,9940,25,1988
1,24.137724982342,10,12,1,40.2629999999999,55,1,1987,36.7006673575128,3948169,19870,100,1987
0,42.6198285308881,6,16,1,40.3360594795538,48,1,1986,35.8099009900989,3944196,11916,36,1986
1,30.0881641865388,10,9,1,26.2683494423791,48,1,1986,26.5234411441143,3944196,19860,100,1986
0,21.3689445878551,1,11,1,29.5229999999999,46,1,1987,24.4470466321243,3948169,1987,1,1987
0,42.5674895876397,2,14,1,41.9999999999999,42,1,1987,36.7983419689118,3948169,3974,4,1987
0,1.75402278661358,2,16,1,6.09599999999998,42,1,1987,4.59979274611398,3948169,3974,4,1987
1,9.78860779273782,2,14,1,11.3507394366197,38,1,1988,0.77028112449799,3952144,3976,4,1988
1,14.0813154714752,2,14,1,0,36,1,1987,14.6977575129533,3948169,3974,4,1987
0,0,2,16,1,28.5163717472118,36,1,1986,18.8092409240924,3944196,3972,4,1986
1,0,10,9,1,0,61,0,1986,0,3944196,19860,100,1986
0,33.2190395755454,3,12,1,40.3360594795538,59,1,1986,35.8099009900989,3944196,5958,9,1986
1,7.80975106025359,5,10,1,2.83472862453531,61,0,1986,0,3944196,9930,25,1986
0,0,2,12,1,0,61,0,1987,0,3948169,3974,4,1987
1,9.44056415830607,2,12,1,22.5345704225352,53,1,1988,19.252626506024,3952144,3976,4,1988
1,0,1,12,1,38.8694975938401,50,1,1985,34.4495145631067,3940225,1985,1,1985
0,19.5639631635826,1,14,1,18.6686619718309,47,1,1988,20.2473895582329,3952144,1988,1,1988
0,34.4662681054934,2,13,1,33.540342637151,44,1,1985,26.9730388349514,3940225,3970,4,1985
0,42.8582199273879,2,16,1,41.9999999999999,38,1,1987,35.2082901554403,3948169,3974,4,1987
0,43.3790663318042,2,14,1,42.257,43,0,1988,0,3952144,3976,4,1988
0,3.0454967729042,2,12,1,3.54077464788731,41,0,1988,0,3952144,3976,4,1988
1,0.456748457405013,3,16,1,0,38,1,1985,26.3558737864077,3940225,5955,9,1985
0,28.3513838720988,0,12,1,26.8619999999999,39,1,1987,23.9723025906735,3948169,0,0,1987
1,9.94319688367431,2,16,1,5.70510780669143,31,1,1986,7.01126512651263,3944196,3972,4,1986
1,13.2730058193197,3,16,1,35.4395845070422,57,1,1988,33.9980080321284,3952144,5964,9,1988
0,35.0178312996776,2,14,1,31.3480446096653,34,1,1986,20.8577601760175,3944196,3972,4,1986
0,34.2288329602149,1,16,1,30.0859718309858,32,1,1988,17.2333895582329,3952144,1988,1,1988
1,31.9239796886724,1,16,1,2.97999999999999,27,1,1987,0.411141968911916,3948169,1987,1,1987
0,4.16548892882997,2,14,1,7.4964084507042,71,1,1988,19.9172690763052,3952144,3976,4,1988
